t_rel_s,rmssd_z,tempo,pitch,volume
0.0,0.440069,1.0,-2.0,60.0
0.996,0.039788,1.0,-2.0,60.0
1.994,0.052469,1.0,-2.0,60.0
2.991,0.308865,1.0,-2.0,60.0
3.989,1.144311,1.0,-2.0,60.0
4.986,0.878393,1.0,-2.0,60.0
5.985,0.859622,1.0,-2.0,60.0
6.983,1.103561,1.0,-2.0,60.0
7.98,-0.317327,1.0,-2.0,60.0
8.978,-0.28206,1.0,-2.0,60.0
9.975,-0.001028,1.0,-2.0,60.0
10.973,-0.082726,1.0,-2.0,60.0
11.97,-0.194559,1.0,-2.0,60.0
12.968,0.202663,1.0,-2.0,60.0
13.965,0.342617,1.0,-2.0,60.0
14.963,-0.995926,1.0,-2.0,60.0
15.96,-0.573789,1.0,-2.0,60.0
16.958,-0.456593,1.0,-2.0,60.0
17.955,-0.551575,1.0,-2.0,60.0
18.953,-1.576007,1.0,-2.0,60.0
19.95,-0.997736,1.0,-2.0,60.0
20.948,-0.840165,1.0,-2.0,60.0
21.945,-1.158749,1.0,-2.0,60.0
22.943,0.060913,1.0,-2.0,60.0
23.94,0.280124,1.0,-2.0,60.0
24.938,0.004284,1.0,-2.0,60.0
25.936,1.018217,1.0,-2.0,60.0
27.432,1.51654,1.0,-2.0,60.0
27.931,1.206271,1.0,-2.0,60.0
29.925,1.291334,1.0,-2.0,60.0
29.928,1.891297,1.0,-2.0,60.0
30.923,1.934109,1.0,-2.0,60.0
31.921,1.508891,1.0,-2.0,60.0
32.918,1.564102,1.0,-2.0,60.0
33.916,1.723961,1.0,-2.0,60.0
34.913,2.32293,1.0,-2.0,60.0
35.911,2.350756,1.0,-2.0,60.0
36.908,2.354074,1.0,-2.0,60.0
37.906,1.633244,1.0,-2.0,60.0
38.903,1.198373,1.0,-2.0,60.0
39.901,1.253981,1.0,-2.0,60.0
40.898,0.496923,1.0,-2.0,60.0
41.896,0.211477,1.0,-2.0,60.0
42.893,0.211995,1.0,-2.0,60.0
43.891,0.223905,1.0,-2.0,60.0
44.888,0.096704,1.0,-2.0,60.0
45.886,0.077775,1.0,-2.0,60.0
46.883,0.088822,1.0,-2.0,60.0
47.881,0.331381,1.0,-2.0,60.0
48.878,0.04296,1.0,-2.0,60.0
49.876,-1.105906,1.0,-2.0,60.0
50.873,-0.322298,1.0,-2.0,60.0
51.871,-0.333911,1.0,-2.0,60.0
52.868,-0.330591,1.0,-2.0,60.0
53.866,-0.31291,1.0,-2.0,60.0
54.863,-0.28646,1.0,-2.0,60.0
55.861,-0.556695,1.0,-2.0,60.0
56.859,-0.713657,1.0,-2.0,60.0
57.856,-0.301878,1.0,-2.0,60.0
58.853,-0.633916,1.0,-2.0,60.0
59.851,-0.895889,1.0,-2.0,60.0
60.848,-0.919131,1.0,-2.0,60.0
61.846,-0.674839,1.0092,-2.0276,59.63
62.843,-0.541911,1.0159,-2.0478,59.36
63.841,-0.702629,1.0214,-2.0641,59.15
64.839,-0.290862,1.0284,-2.0852,58.86
65.836,-1.215712,1.0313,-2.0939,58.75
66.834,-1.347467,1.0435,-2.1304,58.26
67.831,-0.96283,1.0569,-2.1708,57.72
68.829,-0.494335,1.0666,-2.1997,57.34
69.826,-0.569797,1.0715,-2.2145,57.14
70.824,-0.604653,1.0772,-2.2316,56.91
72.818,-0.7154,1.0832,-2.2497,56.67
72.821,-1.121228,1.0904,-2.2712,56.38
73.816,-1.273132,1.1016,-2.3048,55.94
74.814,-0.840165,1.1143,-2.343,55.43
75.811,-0.833672,1.1227,-2.3682,55.09
76.808,-1.059525,1.1311,-2.3932,54.76
77.806,-0.128464,1.1417,-2.425,54.33
78.803,0.590712,1.143,-2.4289,54.28
79.801,0.223387,1.1371,-2.4112,54.52
81.796,0.318083,1.1348,-2.4044,54.61
81.799,0.375222,1.1316,-2.3949,54.73
82.793,0.491906,1.1279,-2.3837,54.88
83.791,0.310914,1.123,-2.3689,55.08
84.789,0.292966,1.1199,-2.3596,55.21
85.786,0.340065,1.1169,-2.3508,55.32
86.784,0.454191,1.1135,-2.3406,55.46
87.781,1.909914,1.109,-2.3269,55.64
88.779,2.484309,1.0899,-2.2697,56.4
89.776,2.408667,1.065,-2.1951,57.4
90.774,2.471192,1.041,-2.1229,58.36
91.771,2.57447,1.0162,-2.0487,59.35
92.769,2.554951,0.9905,-1.9715,60.38
93.766,1.015848,0.9649,-1.8948,61.4
94.764,0.947374,0.9548,-1.8644,61.81
95.761,0.957391,0.9453,-1.8359,62.19
96.759,0.7647,0.9357,-1.8072,62.57
97.756,1.53227,0.9281,-1.7843,62.88
98.754,2.025194,0.9128,-1.7383,63.49
99.751,1.931088,0.8925,-1.6776,64.3
101.746,2.119304,0.8732,-1.6196,65.07
101.749,1.876119,0.852,-1.556,65.92
102.744,1.7486,0.85,-1.4998,66.67
103.742,0.849498,0.85,-1.4473,67.37
