t_rel_s,rmssd_z,tempo,pitch,volume
0.0,0.112385,1.0,-2.0,60.0
0.997,-0.042053,1.0,-2.0,60.0
1.995,-0.024001,1.0,-2.0,60.0
2.992,0.141666,1.0,-2.0,60.0
3.99,-0.249591,1.0,-2.0,60.0
4.987,-0.078788,1.0,-2.0,60.0
6.484,-0.040044,1.0,-2.0,60.0
6.982,-0.062602,1.0,-2.0,60.0
7.98,-0.149637,1.0,-2.0,60.0
8.978,-0.332872,1.0,-2.0,60.0
9.975,-0.413936,1.0,-2.0,60.0
10.973,-0.720933,1.0,-2.0,60.0
11.97,-0.991995,1.0,-2.0,60.0
12.968,-0.721568,1.0,-2.0,60.0
13.965,-0.891201,1.0,-2.0,60.0
14.963,-1.131573,1.0,-2.0,60.0
16.958,-1.239653,1.0,-2.0,60.0
16.959,-1.24298,1.0,-2.0,60.0
17.955,-1.134791,1.0,-2.0,60.0
18.953,-1.137832,1.0,-2.0,60.0
19.95,-1.107722,1.0,-2.0,60.0
20.948,-1.40002,1.0,-2.0,60.0
21.945,-1.114646,1.0,-2.0,60.0
22.943,-0.964521,1.0,-2.0,60.0
23.94,-0.965031,1.0,-2.0,60.0
24.938,-1.06158,1.0,-2.0,60.0
25.935,-0.937435,1.0,-2.0,60.0
27.93,-0.683038,1.0,-2.0,60.0
27.933,-0.679897,1.0,-2.0,60.0
28.928,-1.011066,1.0,-2.0,60.0
29.925,-0.53079,1.0,-2.0,60.0
30.923,-0.527924,1.0,-2.0,60.0
31.92,-0.571143,1.0,-2.0,60.0
32.918,-0.627837,1.0,-2.0,60.0
33.915,-0.627837,1.0,-2.0,60.0
34.913,-0.635274,1.0,-2.0,60.0
35.91,-0.613005,1.0,-2.0,60.0
37.407,-0.598693,1.0,-2.0,60.0
38.404,-0.73015,1.0,-2.0,60.0
39.402,-0.707467,1.0,-2.0,60.0
40.399,-0.707467,1.0,-2.0,60.0
41.397,-0.486374,1.0,-2.0,60.0
42.394,-0.778197,1.0,-2.0,60.0
43.392,-0.756818,1.0,-2.0,60.0
44.389,-0.556075,1.0,-2.0,60.0
45.387,-1.067356,1.0,-2.0,60.0
46.384,-0.958917,1.0,-2.0,60.0
47.382,-0.810098,1.0,-2.0,60.0
48.379,-1.044657,1.0,-2.0,60.0
49.876,-1.168764,1.0,-2.0,60.0
50.374,-1.18416,1.0,-2.0,60.0
51.372,-1.172561,1.0,-2.0,60.0
52.369,-1.238914,1.0,-2.0,60.0
53.367,-1.52931,1.0,-2.0,60.0
54.364,-1.452046,1.0,-2.0,60.0
55.362,-1.662142,1.0,-2.0,60.0
56.359,-1.638362,1.0,-2.0,60.0
57.357,-1.796142,1.0,-2.0,60.0
