t_rel_s,rmssd_z,tempo,pitch,volume
0.0,-0.229612,1.0,-2.0,60.0
0.998,-0.920005,1.0,-2.0,60.0
1.995,-0.993156,1.0,-2.0,60.0
2.992,-1.030015,1.0,-2.0,60.0
4.489,0.191268,1.0,-2.0,60.0
4.988,0.236185,1.0,-2.0,60.0
5.985,0.057706,1.0,-2.0,60.0
6.983,0.061138,1.0,-2.0,60.0
7.98,0.436856,1.0,-2.0,60.0
8.978,-0.559491,1.0,-2.0,60.0
9.975,-0.482729,1.0,-2.0,60.0
10.973,0.575002,1.0,-2.0,60.0
11.97,0.189766,1.0,-2.0,60.0
12.968,0.203644,1.0,-2.0,60.0
13.965,0.18,1.0,-2.0,60.0
14.963,0.088925,1.0,-2.0,60.0
15.96,-0.192931,1.0,-2.0,60.0
16.958,-0.191358,1.0,-2.0,60.0
17.955,-1.202814,1.0,-2.0,60.0
18.953,-1.585395,1.0,-2.0,60.0
19.95,-1.310062,1.0,-2.0,60.0
21.447,-0.810368,1.0,-2.0,60.0
21.945,-1.172668,1.0,-2.0,60.0
22.943,-0.43144,1.0,-2.0,60.0
23.94,-0.121634,1.0,-2.0,60.0
24.938,-1.399968,1.0,-2.0,60.0
25.935,-1.332082,1.0,-2.0,60.0
26.933,-1.432536,1.0,-2.0,60.0
27.93,-0.903561,1.0,-2.0,60.0
29.925,-0.96215,1.0,-2.0,60.0
29.927,-0.631205,1.0,-2.0,60.0
30.923,-0.624544,1.0,-2.0,60.0
31.92,-0.696467,1.0,-2.0,60.0
32.918,-1.00893,1.0,-2.0,60.0
33.915,-0.497038,1.0,-2.0,60.0
34.913,-0.643711,1.0,-2.0,60.0
35.91,-0.966073,1.0,-2.0,60.0
